Associated Gene Name	Description	Gene Biotype	NA
KDM3B	lysine (K)-specific demethylase 3B	protein_coding	51780
C1QB	complement component 1, q subcomponent, B chain	protein_coding	713
NPB	neuropeptide B	protein_coding	256933
TTK	TTK protein kinase	protein_coding	7272
SUN5	Sad1 and UNC84 domain containing 5	protein_coding	140732
PCYT2	phosphate cytidylyltransferase 2, ethanolamine	protein_coding	5833
AOAH	acyloxyacyl hydrolase (neutrophil)	protein_coding	313
BBS1	Bardet-Biedl syndrome 1	protein_coding	582
TMEM209	transmembrane protein 209	protein_coding	84928
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	protein_coding	79987
SRFBP1	serum response factor binding protein 1	protein_coding	153443
BRAP	BRCA1 associated protein	protein_coding	8315
DARS	aspartyl-tRNA synthetase	protein_coding	1615
ZNF34	zinc finger protein 34	protein_coding	80778
C12orf44	chromosome 12 open reading frame 44	protein_coding	60673
COL28A1	collagen, type XXVIII, alpha 1	protein_coding	340267
NUB1	negative regulator of ubiquitin-like proteins 1	protein_coding	51667
EMID2	EMI domain containing 2	polymorphic_pseudogene	136227
RP9	retinitis pigmentosa 9 (autosomal dominant)	protein_coding	6100
GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase	protein_coding	2588
TRIP6	thyroid hormone receptor interactor 6	protein_coding	7205
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	protein_coding	51382
IL21R	interleukin 21 receptor	protein_coding	50615
CYS1	cystin 1	protein_coding	192668
KIAA1143	KIAA1143	protein_coding	57456
HEPACAM	hepatic and glial cell adhesion molecule	protein_coding	220296
HEPACAM	hepatic and glial cell adhesion molecule	protein_coding	220296
OBP2B	odorant binding protein 2B	protein_coding	29989
CYLD	cylindromatosis (turban tumor syndrome)	protein_coding	1540
C12orf56	chromosome 12 open reading frame 56	protein_coding	115749
GLTPD1	glycolipid transfer protein domain containing 1	protein_coding	80772
KIF15	kinesin family member 15	protein_coding	56992
LOX	lysyl oxidase	protein_coding	4015
HMOX1	heme oxygenase (decycling) 1	protein_coding	3162
LXN	latexin	protein_coding	56925
IMP4	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	protein_coding	92856
NRXN1	neurexin 1	protein_coding	9378
NDUFS2	NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)	protein_coding	4720
LTBP3	latent transforming growth factor beta binding protein 3	protein_coding	4054
STK32C	serine/threonine kinase 32C	protein_coding	282974
TAS1R3	taste receptor, type 1, member 3	protein_coding	83756
BBS9	Bardet-Biedl syndrome 9	protein_coding	27241
RARRES1	retinoic acid receptor responder (tazarotene induced) 1	protein_coding	5918
OVOL1	ovo-like 1(Drosophila)	protein_coding	5017
TXNDC5	thioredoxin domain containing 5 (endoplasmic reticulum)	protein_coding	81567
MYL10	myosin, light chain 10, regulatory	protein_coding	93408
TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	protein_coding	6881
NEDD1	neural precursor cell expressed, developmentally down-regulated 1	protein_coding	121441
CFL1	cofilin 1 (non-muscle)	protein_coding	1072
MCM5	minichromosome maintenance complex component 5	protein_coding	4174
RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	protein_coding	54700
RP11-696N14.1		lincRNA	NA
RPL8	ribosomal protein L8	protein_coding	6132
TMEM8C	transmembrane protein 8C	protein_coding	389827
EPHB2	EPH receptor B2	protein_coding	2048
ACAD10	acyl-CoA dehydrogenase family, member 10	protein_coding	80724
DENND5B	DENN/MADD domain containing 5B	protein_coding	160518
CUX1	cut-like homeobox 1	protein_coding	1523
RRM2	ribonucleotide reductase M2	protein_coding	6241
TBCEL	tubulin folding cofactor E-like	protein_coding	219899
TFCP2	transcription factor CP2	protein_coding	7024
CLEC1B	C-type lectin domain family 1, member B	protein_coding	51266
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	protein_coding	2207
RNASET2	ribonuclease T2	protein_coding	8635
AIG1	androgen-induced 1	protein_coding	51390
APOA2	apolipoprotein A-II	protein_coding	336
PIGZ	phosphatidylinositol glycan anchor biosynthesis, class Z	protein_coding	80235
DVL1	dishevelled, dsh homolog 1 (Drosophila)	protein_coding	1855
ZNF76	zinc finger protein 76	protein_coding	7629
AC073133.1		lincRNA	NA
NAV2	neuron navigator 2	protein_coding	89797
AC073871.2		lincRNA	NA
MFI2	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	protein_coding	4241
HAND1	heart and neural crest derivatives expressed 1	protein_coding	9421
CTC-228N24.3		lincRNA	NA
ADAM12	ADAM metallopeptidase domain 12	protein_coding	8038
EIF4H	eukaryotic translation initiation factor 4H	protein_coding	7458
PTPN18	protein tyrosine phosphatase, non-receptor type 18 (brain-derived)	protein_coding	26469
TCF21	transcription factor 21	protein_coding	6943
HLA-L	major histocompatibility complex, class I, L (pseudogene)	pseudogene	3139
CALB2	calbindin 2	protein_coding	794
CCR9	chemokine (C-C motif) receptor 9	protein_coding	10803
GLRA4	glycine receptor, alpha 4	protein_coding	441509
HCG18	HLA complex group 18 (non-protein coding)	processed_transcript	414777
SIRT7	sirtuin 7	protein_coding	51547
C3orf78	chromosome 3 open reading frame 78	protein_coding	440957
RP4-805N21.1	uncharacterized protein LOC729059	protein_coding	NA
RAB6A	RAB6A, member RAS oncogene family	protein_coding	5870
KDM1A	lysine (K)-specific demethylase 1A	protein_coding	23028
KRT80	keratin 80	protein_coding	144501
AVIL	advillin	protein_coding	10677
LARP1	La ribonucleoprotein domain family, member 1	protein_coding	23367
HEPN1	hepatocellular carcinoma, down-regulated 1	protein_coding	641654
HK1	hexokinase 1	protein_coding	3098
CCDC15	coiled-coil domain containing 15	protein_coding	80071
TPP1	tripeptidyl peptidase I	protein_coding	1200
C18orf8	chromosome 18 open reading frame 8	protein_coding	29919
ORC5	origin recognition complex, subunit 5	protein_coding	5001
SIX3	SIX homeobox 3	protein_coding	6496
SIX2	SIX homeobox 2	protein_coding	10736
ZNF10	zinc finger protein 10	protein_coding	7556
XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	protein_coding	11260
CDK5RAP1	CDK5 regulatory subunit associated protein 1	protein_coding	51654
GCFC1	GC-rich sequence DNA-binding factor 1	protein_coding	94104
MMP17	matrix metallopeptidase 17 (membrane-inserted)	protein_coding	4326
FYCO1	FYVE and coiled-coil domain containing 1	protein_coding	79443
RBM27	RNA binding motif protein 27	protein_coding	54439
SURF6	surfeit 6	protein_coding	6838
DLG1	discs, large homolog 1 (Drosophila)	protein_coding	1739
C7orf45	chromosome 7 open reading frame 45	protein_coding	136263
PBRM1	polybromo 1	protein_coding	55193
CCDC54	coiled-coil domain containing 54	protein_coding	84692
CPA2	carboxypeptidase A2 (pancreatic)	protein_coding	1358
MFSD1	major facilitator superfamily domain containing 1	protein_coding	64747
CPM	carboxypeptidase M	protein_coding	1368
POLH	polymerase (DNA directed), eta	protein_coding	5429
PLA2G12A	phospholipase A2, group XIIA	protein_coding	81579
RP5-1121A15.1		antisense	NA
SRBD1	S1 RNA binding domain 1	protein_coding	55133
SULT1A3	Sulfotransferase 1A3/1A4	protein_coding	6818
SULT1A3	Sulfotransferase 1A3/1A4	protein_coding	6818
TECTA	tectorin alpha	protein_coding	7007
PTPRJ	protein tyrosine phosphatase, receptor type, J	protein_coding	5795
PCGF5	polycomb group ring finger 5	protein_coding	84333
TIMM10	translocase of inner mitochondrial membrane 10 homolog (yeast)	protein_coding	26519
TMEM14E	transmembrane protein 14E	protein_coding	645843
P2RY1	purinergic receptor P2Y, G-protein coupled, 1	protein_coding	5028
SMTNL1	smoothelin-like 1	protein_coding	219537
SEL1L	sel-1 suppressor of lin-12-like (C. elegans)	protein_coding	6400
RAP2B	RAP2B, member of RAS oncogene family	protein_coding	5912
PDE12	phosphodiesterase 12	protein_coding	201626
SLC5A11	solute carrier family 5 (sodium/glucose cotransporter), member 11	protein_coding	115584
C3orf79	chromosome 3 open reading frame 79	protein_coding	152118
COL9A1	collagen, type IX, alpha 1	protein_coding	1297
SOX13	SRY (sex determining region Y)-box 13	protein_coding	9580
OSMR	oncostatin M receptor	protein_coding	9180
ARF4	ADP-ribosylation factor 4	protein_coding	378
ARHGEF26	Rho guanine nucleotide exchange factor (GEF) 26	protein_coding	26084
KRT7	keratin 7	protein_coding	3855
RASD2	RASD family, member 2	protein_coding	23551
NPC1	Niemann-Pick disease, type C1	protein_coding	4864
MB	myoglobin	protein_coding	4151
ADAMTSL2	ADAMTS-like 2	protein_coding	9719
SLC37A2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	protein_coding	219855
SNX32	sorting nexin 32	protein_coding	254122
SC5DL	sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like	protein_coding	6309
ADAT2	adenosine deaminase, tRNA-specific 2	protein_coding	134637
FLOT1	flotillin 1	protein_coding	10211
BBX	bobby sox homolog (Drosophila)	protein_coding	56987
TMEM31	transmembrane protein 31	protein_coding	203562
PCNAP1	proliferating cell nuclear antigen pseudogene 1	pseudogene	359806
GATSL1	GATS protein-like 1	protein_coding	389523
MUTED	muted homolog (mouse)	protein_coding	63915
NCK2	NCK adaptor protein 2	protein_coding	8440
HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	protein_coding	3326
APOL6	apolipoprotein L, 6	protein_coding	80830
ZNF23	zinc finger protein 23 (KOX 16)	protein_coding	7571
UBE2L6	ubiquitin-conjugating enzyme E2L 6	protein_coding	9246
APOL5	apolipoprotein L, 5	protein_coding	80831
OVCH1	ovochymase 1	protein_coding	341350
AC011899.9		antisense	NA
PLP1	proteolipid protein 1	protein_coding	5354
HOXA-AS4	HOXA cluster antisense RNA 4 (non-protein coding)	antisense	100874323
RBFOX2	RNA binding protein, fox-1 homolog (C. elegans) 2	protein_coding	23543
ULK1	unc-51-like kinase 1 (C. elegans)	protein_coding	8408
OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	protein_coding	64859
CXCR4	chemokine (C-X-C motif) receptor 4	protein_coding	7852
AHI1	Abelson helper integration site 1	protein_coding	54806
ZNF385D	zinc finger protein 385D	protein_coding	79750
ANKRD29	ankyrin repeat domain 29	protein_coding	147463
WBSCR16	Williams-Beuren syndrome chromosome region 16	protein_coding	81554
VWC2	von Willebrand factor C domain containing 2	protein_coding	375567
SDHD	succinate dehydrogenase complex, subunit D, integral membrane protein	protein_coding	6392
RP11-202P11.1		lincRNA	NA
THSD7B	thrombospondin, type I, domain containing 7B	protein_coding	80731
ZPBP	zona pellucida binding protein	protein_coding	11055
FAM116A	family with sequence similarity 116, member A	protein_coding	201627
LAMA3	laminin, alpha 3	protein_coding	3909
C2orf40	chromosome 2 open reading frame 40	protein_coding	84417
C2orf48	chromosome 2 open reading frame 48	protein_coding	348738
SPSB3	splA/ryanodine receptor domain and SOCS box containing 3	protein_coding	90864
MED22	mediator complex subunit 22	protein_coding	6837
AC004863.6		lincRNA	NA
LUZP1	leucine zipper protein 1	protein_coding	7798
ETNK2	ethanolamine kinase 2	protein_coding	55224
SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	protein_coding	710
HOTTIP	HOXA distal transcript antisense RNA (non-protein coding)	antisense	100316868
DHX36	DEAH (Asp-Glu-Ala-His) box polypeptide 36	protein_coding	170506
ZNF268	zinc finger protein 268	protein_coding	10795
GTF3C1	general transcription factor IIIC, polypeptide 1, alpha 220kDa	protein_coding	2975
HTR1D	5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled	protein_coding	3352
SNTA1	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	protein_coding	6640
UXS1	UDP-glucuronate decarboxylase 1	protein_coding	80146
ASB8	ankyrin repeat and SOCS box containing 8	protein_coding	140461
C9orf153	chromosome 9 open reading frame 153	protein_coding	389766
HNRNPR	heterogeneous nuclear ribonucleoprotein R	protein_coding	10236
PEX3	peroxisomal biogenesis factor 3	protein_coding	8504
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	protein_coding	9521
CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	protein_coding	9139
REEP2	receptor accessory protein 2	protein_coding	51308
ISCA1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)	protein_coding	81689
OR7C1	olfactory receptor, family 7, subfamily C, member 1	protein_coding	26664
CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	protein_coding	11052
OR7A5	olfactory receptor, family 7, subfamily A, member 5	protein_coding	26659
OR7A10	olfactory receptor, family 7, subfamily A, member 10	protein_coding	390892
OR7A17	olfactory receptor, family 7, subfamily A, member 17	protein_coding	26333
OR7C2	olfactory receptor, family 7, subfamily C, member 2	protein_coding	26658
SLC1A6	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	protein_coding	6511
MXRA8	matrix-remodelling associated 8	protein_coding	54587
POU4F3	POU class 4 homeobox 3	protein_coding	5459
HPCAL1	hippocalcin-like 1	protein_coding	3241
CFI	complement factor I	protein_coding	3426
EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	protein_coding	1965
TCERG1	transcription elongation regulator 1	protein_coding	10915
CSN1S2AP	casein alpha s2-like A, pseudogene	pseudogene	286828
CCDC105	coiled-coil domain containing 105	protein_coding	126402
CASP14	caspase 14, apoptosis-related cysteine peptidase	protein_coding	23581
OR1I1	olfactory receptor, family 1, subfamily I, member 1	protein_coding	126370
MUSTN1	musculoskeletal, embryonic nuclear protein 1	protein_coding	389125
LHFPL3	lipoma HMGIC fusion partner-like 3	protein_coding	375612
CXCR6	chemokine (C-X-C motif) receptor 6	protein_coding	10663
TMTC1	transmembrane and tetratricopeptide repeat containing 1	protein_coding	83857
SDPR	serum deprivation response	protein_coding	8436
SLC35B3	solute carrier family 35, member B3	protein_coding	51000
APOL3	apolipoprotein L, 3	protein_coding	80833
TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2	protein_coding	23671
SORL1	sortilin-related receptor, L(DLR class) A repeats containing	protein_coding	6653
HECTD2	HECT domain containing E3 ubiquitin protein ligase 2	protein_coding	143279
TBK1	TANK-binding kinase 1	protein_coding	29110
GTF2IRD2B	GTF2I repeat domain containing 2B	protein_coding	389524
FAM163B	family with sequence similarity 163, member B	protein_coding	642968
ZCCHC6	zinc finger, CCHC domain containing 6	protein_coding	79670
LRRC27	leucine rich repeat containing 27	protein_coding	80313
TMEM218	transmembrane protein 218	protein_coding	219854
ZNF436	zinc finger protein 436	protein_coding	80818
TBPL1	TBP-like 1	protein_coding	9519
TMEM110-MUSTN1	TMEM110-MUSTN1 readthrough	protein_coding	100526772
PSORS1C3	psoriasis susceptibility 1 candidate 3 (non-protein coding)	processed_transcript	100130889
PNPLA7	patatin-like phospholipase domain containing 7	protein_coding	375775
HCG27	HLA complex group 27 (non-protein coding)	processed_transcript	253018
NECAB3	N-terminal EF-hand calcium binding protein 3	protein_coding	63941
SLC39A10	solute carrier family 39 (zinc transporter), member 10	protein_coding	57181
GTPBP2	GTP binding protein 2	protein_coding	54676
PRKCE	protein kinase C, epsilon	protein_coding	5581
RAB35	RAB35, member RAS oncogene family	protein_coding	11021
PTCD2	pentatricopeptide repeat domain 2	protein_coding	79810
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	protein_coding	4782
HCP5	HLA complex P5 (non-protein coding)	processed_transcript	10866
XCR1	chemokine (C motif) receptor 1	protein_coding	2829
RNF138P1	ring finger protein 138, E3 ubiquitin protein ligase pseudogene 1	pseudogene	379013
DBH	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	protein_coding	1621
CDH1	cadherin 1, type 1, E-cadherin (epithelial)	protein_coding	999
C1orf213	chromosome 1 open reading frame 213	protein_coding	148898
CCR3	chemokine (C-C motif) receptor 3	protein_coding	1232
TMEM108	transmembrane protein 108	protein_coding	66000
TCEA3	transcription elongation factor A (SII), 3	protein_coding	6920
AC139099.3		pseudogene	NA
TMEM110	transmembrane protein 110	protein_coding	375346
PUS1	pseudouridylate synthase 1	protein_coding	80324
C19orf77	chromosome 19 open reading frame 77	protein_coding	284422
DOHH	deoxyhypusine hydroxylase/monooxygenase	protein_coding	83475
C21orf62	chromosome 21 open reading frame 62	protein_coding	56245
C6orf47	chromosome 6 open reading frame 47	protein_coding	57827
FZR1	fizzy/cell division cycle 20 related 1 (Drosophila)	protein_coding	51343
ARCN1	archain 1	protein_coding	372
C7orf72	chromosome 7 open reading frame 72	protein_coding	100130988
GPANK1	G patch domain and ankyrin repeats 1	protein_coding	7918
ELMO1	engulfment and cell motility 1	protein_coding	9844
UBE2E2	ubiquitin-conjugating enzyme E2E 2	protein_coding	7325
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein_coding	55616
